epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1905,1.44664,3.20482,1.51445,0.00712,0.64565,0.27952,0.19975,1.26366,3.14439,1.30746,0.0001667,0.0001667,0.0001667
2,20.4036,1.39154,2.75896,1.42469,0.00865,0.70867,0.38302,0.28878,1.30279,3.07364,1.31975,0.000343139,0.000343139,0.000343139
3,27.8949,1.40346,2.32562,1.47549,0.00742,0.62836,0.38967,0.2835,1.41768,2.96009,1.3984,0.000512316,0.000512316,0.000512316
4,34.8778,1.46434,2.07293,1.48192,1,0.07312,0.31367,0.23068,1.59337,2.97867,1.55615,0.000674231,0.000674231,0.000674231
5,42.4508,1.42795,1.88484,1.4397,0.00805,0.66337,0.19979,0.14049,1.77788,3.22699,1.82944,0.000828886,0.000828886,0.000828886
6,49.3376,1.45722,1.90315,1.50983,0.9332,0.13333,0.30359,0.21536,1.59999,2.89147,1.67522,0.000976279,0.000976279,0.000976279
7,56.6158,1.41751,1.80664,1.45017,0.63671,0.23127,0.33991,0.23285,1.59431,2.75517,1.6917,0.00111641,0.00111641,0.00111641
8,63.463,1.43801,1.86553,1.50119,0.57931,0.41375,0.46199,0.29654,1.61349,2.34925,1.73227,0.00124928,0.00124928,0.00124928
9,70.2613,1.41578,1.84736,1.4722,0.54044,0.41842,0.44241,0.30446,1.61275,2.37273,1.70599,0.00137489,0.00137489,0.00137489
10,77.3212,1.41585,1.82136,1.47788,0.47216,0.37576,0.39412,0.27062,1.68859,2.68435,1.76523,0.00136994,0.00136994,0.00136994
11,85.2164,1.39657,1.79915,1.45544,0.34426,0.30085,0.27427,0.18243,1.8118,3.40596,2.00127,0.00133693,0.00133693,0.00133693
12,92.0297,1.47344,1.79861,1.51032,0.30915,0.35371,0.26467,0.17701,1.8155,3.9922,2.05832,0.00130393,0.00130393,0.00130393
13,98.7217,1.36983,1.70497,1.43033,0.37592,0.38229,0.30478,0.20763,1.70949,4.18165,1.94739,0.00127092,0.00127092,0.00127092
14,105.439,1.36198,1.68623,1.43941,0.39637,0.40393,0.36732,0.24457,1.68857,2.95223,1.78946,0.00123791,0.00123791,0.00123791
15,112.334,1.39099,1.65171,1.4278,0.42579,0.37756,0.38568,0.26239,1.71649,2.41599,1.77241,0.00120491,0.00120491,0.00120491
16,119.302,1.30977,1.63338,1.41,0.5034,0.37001,0.39149,0.27893,1.67803,2.3176,1.76629,0.0011719,0.0011719,0.0011719
17,126.152,1.31548,1.62239,1.38939,0.50725,0.39259,0.41212,0.29671,1.5973,2.13866,1.65719,0.00113889,0.00113889,0.00113889
18,133.551,1.30443,1.5612,1.35362,0.48191,0.49127,0.47439,0.34698,1.5048,2.12286,1.5766,0.00110589,0.00110589,0.00110589
19,140.291,1.29222,1.52522,1.35883,0.46922,0.54153,0.47084,0.33299,1.53569,2.25275,1.59279,0.00107288,0.00107288,0.00107288
20,148.287,1.28244,1.5146,1.35016,0.50516,0.54323,0.46097,0.30932,1.62421,2.15471,1.66284,0.00103987,0.00103987,0.00103987
21,155.029,1.27975,1.47393,1.36086,0.49723,0.47771,0.45295,0.29833,1.65024,2.13751,1.66195,0.00100687,0.00100687,0.00100687
22,162.62,1.27034,1.48142,1.37682,0.54874,0.55446,0.47652,0.32633,1.61589,2.10323,1.69502,0.000973861,0.000973861,0.000973861
23,170.496,1.24442,1.43785,1.34934,0.51951,0.57016,0.4904,0.34241,1.5643,2.01969,1.66973,0.000940855,0.000940855,0.000940855
24,177.374,1.26069,1.49015,1.38124,0.54114,0.51618,0.50519,0.36841,1.42904,2.02141,1.54963,0.000907848,0.000907848,0.000907848
25,184.461,1.2126,1.38103,1.33475,0.53185,0.57219,0.50849,0.37293,1.45585,2.18655,1.5437,0.000874842,0.000874842,0.000874842
26,191.403,1.27001,1.43586,1.35148,0.54646,0.58759,0.51078,0.36379,1.49948,2.04766,1.54936,0.000841835,0.000841835,0.000841835
27,198.524,1.15724,1.38013,1.29317,0.5939,0.52892,0.49787,0.36999,1.49991,2.13235,1.54197,0.000808828,0.000808828,0.000808828
28,205.371,1.1638,1.35171,1.28333,0.51986,0.56534,0.48737,0.361,1.49736,1.96818,1.52132,0.000775822,0.000775822,0.000775822
29,212.95,1.17296,1.32306,1.2812,0.53721,0.59253,0.50173,0.35972,1.48728,1.92719,1.52191,0.000742815,0.000742815,0.000742815
30,219.671,1.1472,1.31616,1.29578,0.54951,0.52939,0.51049,0.358,1.47532,1.76666,1.50853,0.000709809,0.000709809,0.000709809
31,226.556,1.18095,1.31987,1.33274,0.55512,0.55429,0.51868,0.37604,1.46425,1.76035,1.49905,0.000676802,0.000676802,0.000676802
32,233.292,1.14785,1.23058,1.27355,0.55039,0.55585,0.51673,0.37747,1.46464,1.86067,1.5044,0.000643795,0.000643795,0.000643795
33,240.311,1.13893,1.23842,1.26759,0.57296,0.52674,0.51074,0.36806,1.44141,1.8367,1.50819,0.000610789,0.000610789,0.000610789
34,247.15,1.11,1.18745,1.23772,0.57866,0.51787,0.5064,0.35931,1.44785,1.76468,1.51607,0.000577782,0.000577782,0.000577782
35,254.122,1.11606,1.21863,1.24246,0.63592,0.50138,0.51302,0.36888,1.47747,1.73631,1.51966,0.000544776,0.000544776,0.000544776
36,260.841,1.04207,1.18341,1.22346,0.58818,0.52892,0.50484,0.37129,1.46932,1.80604,1.53119,0.000511769,0.000511769,0.000511769
37,267.622,1.1258,1.19352,1.24841,0.56546,0.5505,0.5047,0.38148,1.43021,1.8056,1.51839,0.000478762,0.000478762,0.000478762
38,274.846,1.07581,1.19151,1.23851,0.57684,0.539,0.5269,0.39024,1.40482,1.76294,1.50176,0.000445756,0.000445756,0.000445756
39,282.353,1.07968,1.18307,1.22864,0.6105,0.53624,0.53454,0.40279,1.39904,1.75161,1.48824,0.000412749,0.000412749,0.000412749
40,289.382,1.06479,1.11407,1.20446,0.59279,0.55236,0.53585,0.39848,1.4302,1.68375,1.51673,0.000379743,0.000379743,0.000379743
41,296,0.9962,1.21971,1.19289,0.58859,0.53255,0.52173,0.3869,1.43787,1.74016,1.52462,0.000346736,0.000346736,0.000346736
42,302.345,0.98587,1.14406,1.16472,0.59836,0.4768,0.4815,0.35712,1.47656,1.93306,1.57422,0.000313729,0.000313729,0.000313729
43,308.575,0.97924,1.08786,1.17832,0.54129,0.53468,0.49641,0.36319,1.48237,1.83702,1.57363,0.000280723,0.000280723,0.000280723
44,315.281,0.94281,1.06676,1.136,0.58433,0.58121,0.52501,0.3826,1.4205,1.70793,1.52761,0.000247716,0.000247716,0.000247716
45,322.219,0.94657,1.07826,1.15455,0.59843,0.57586,0.52906,0.3894,1.3998,1.69092,1.50258,0.00021471,0.00021471,0.00021471
46,329.119,0.94454,1.05469,1.15123,0.59647,0.5532,0.52064,0.3884,1.405,1.72945,1.50505,0.000181703,0.000181703,0.000181703
47,335.551,0.94669,1.0584,1.15037,0.60224,0.53204,0.52209,0.39634,1.39259,1.69281,1.49987,0.000148696,0.000148696,0.000148696
48,342.557,0.90017,1.01507,1.12421,0.58462,0.57247,0.53242,0.40669,1.35298,1.66141,1.46162,0.00011569,0.00011569,0.00011569
49,350.045,0.89928,1.00708,1.12963,0.61081,0.56985,0.53718,0.40881,1.36216,1.65638,1.47306,8.26832e-05,8.26832e-05,8.26832e-05
50,356.83,0.90591,0.973,1.12128,0.60979,0.57436,0.54191,0.41036,1.3605,1.65039,1.4675,4.96766e-05,4.96766e-05,4.96766e-05
